age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
41,4,102977,15,5,12,0,4,1,0,0,40,39,0
37,4,238400,9,2,10,4,4,1,0,0,40,39,0
47,0,118426,14,4,14,3,4,1,0,0,40,8,0
24,4,38321,15,4,6,0,2,0,0,0,40,39,0
18,4,72098,11,4,1,4,4,1,0,0,36,39,0
43,4,275989,15,4,12,3,2,0,0,0,21,39,0
26,4,342459,15,4,6,0,4,1,0,0,40,39,0
24,4,155004,9,0,14,0,4,1,0,0,44,8,0
60,0,504838,5,4,10,0,4,1,0,0,72,39,0
30,4,125684,9,4,10,1,4,1,0,0,40,39,0
59,0,393656,15,4,1,1,4,1,0,0,40,39,0
33,4,112807,15,4,3,0,4,1,0,0,40,39,0
20,4,135435,11,4,1,3,4,0,0,0,23,39,0
30,4,217395,15,0,1,3,4,0,0,0,40,39,0
23,4,87389,12,0,10,3,4,0,0,0,40,39,0
61,4,180611,15,4,12,3,4,1,0,0,40,39,0
28,4,218756,15,4,7,3,4,1,0,0,31,39,0
39,5,96880,12,0,10,4,2,1,0,0,71,39,0
47,4,116188,11,2,8,5,4,0,0,0,40,39,0
21,4,158527,11,2,4,0,4,1,14090,0,49,39,1
33,4,252330,11,2,12,0,4,1,0,0,40,39,0
21,5,64151,9,0,5,0,4,1,0,0,40,39,0
27,4,112754,11,4,6,0,4,0,0,0,40,39,0
30,6,269476,15,4,0,5,4,1,0,0,50,39,0
43,4,116773,15,4,3,1,4,1,0,0,50,39,0
25,4,373517,11,4,1,3,4,0,0,0,40,39,0
36,6,194478,9,2,12,5,4,0,0,0,50,39,1
39,4,192866,0,2,14,1,2,1,0,0,36,39,0
25,1,188672,9,2,10,1,4,1,0,0,50,39,0
28,4,138240,0,2,1,3,4,1,0,0,40,39,0
38,4,102276,11,2,12,4,2,0,0,0,24,39,0
61,2,185580,15,2,4,0,4,1,0,1513,58,39,1
26,6,45764,11,4,12,0,2,1,0,0,40,39,0
54,4,210501,12,2,10,3,4,1,14090,0,2,39,1
27,6,106763,11,2,13,3,4,1,0,0,40,39,0
61,4,187247,12,2,4,0,4,1,14090,0,47,39,1
27,4,198584,11,2,6,0,4,0,0,0,61,39,0
52,6,250301,15,4,12,4,2,0,0,0,40,39,0
32,4,100947,9,0,1,0,4,1,0,0,90,14,0
21,4,107945,15,2,4,0,4,0,0,696,40,39,0
38,4,132825,15,2,14,0,4,1,0,0,14,39,0
25,6,161725,15,0,0,0,4,1,0,0,40,39,0
32,4,197677,12,0,10,4,4,1,0,0,40,39,0
69,4,408053,11,4,3,3,4,0,0,0,72,39,0
22,4,63531,9,4,1,0,4,0,0,0,46,39,0
21,4,438505,15,4,3,4,2,0,0,0,22,39,0
37,4,72822,11,4,1,1,4,0,0,0,19,39,0
67,4,448626,6,4,13,3,2,0,0,0,40,39,0
24,4,316609,11,2,10,1,4,1,0,0,50,39,1
29,4,239984,9,0,1,0,4,1,0,0,40,39,0
48,4,158961,15,0,3,0,4,1,0,0,40,39,0
75,4,267514,4,2,10,0,4,1,0,0,50,39,0
19,4,98190,15,4,8,4,4,1,0,0,36,39,0
19,4,98743,11,2,8,5,2,0,0,0,40,12,0
65,2,215414,15,0,10,3,4,1,0,0,40,39,0
33,1,298521,6,1,10,3,4,1,0,0,40,39,0
20,4,384949,9,4,0,0,4,1,0,0,46,39,0
52,5,133563,12,0,12,3,4,1,0,0,40,39,0
60,4,175857,11,2,12,0,4,1,0,0,44,39,1
53,3,306015,11,4,12,4,2,0,0,0,29,19,0
27,4,215821,11,4,1,3,4,0,0,0,40,39,0
61,4,220795,15,2,10,5,4,1,14090,0,49,39,1
32,4,351708,15,4,8,5,2,0,0,0,40,39,0
29,4,119414,11,2,6,0,4,0,0,1853,46,39,0
38,6,316668,15,6,0,3,4,1,0,0,24,27,0
47,4,146299,11,4,1,0,4,0,0,2049,40,8,0
38,4,168783,11,2,12,1,4,0,0,0,37,39,1
46,4,98538,11,2,3,3,4,1,0,0,40,39,0
29,4,117348,11,2,8,0,4,0,0,0,50,39,0
41,4,-2315,0,2,11,1,4,0,0,0,36,39,0
21,6,301027,8,2,12,0,4,1,0,0,45,39,0
32,1,131611,9,6,4,0,4,1,0,0,50,39,1
37,1,400509,1,3,10,4,4,0,0,0,40,27,0
52,4,203322,11,4,12,4,4,1,0,0,40,39,0
21,4,251311,15,4,6,3,1,0,0,0,40,39,0
25,4,220041,11,4,6,3,2,0,0,0,40,39,0
59,4,149172,11,2,8,0,4,0,0,0,50,39,0
68,0,194639,6,4,6,1,4,1,0,1310,96,39,0
42,6,129151,9,2,0,0,4,1,0,1457,50,3,0
76,7,144798,15,4,14,1,2,1,0,0,40,39,0
53,4,123465,11,2,14,1,4,1,0,0,50,39,1
33,4,363303,15,4,14,3,4,1,0,0,40,39,0
48,4,164604,15,2,5,3,4,1,0,0,40,39,0
48,4,166366,14,4,10,0,4,1,0,0,40,39,1
26,4,99934,15,4,12,4,4,1,0,0,40,39,0
59,4,127494,9,0,3,0,4,1,0,0,40,39,0
32,4,136734,11,4,12,3,2,0,0,0,40,39,0
47,4,153626,11,2,3,3,4,0,0,0,40,39,0
38,4,261235,6,2,3,0,4,1,0,0,50,39,1
38,4,162251,11,2,4,0,4,1,0,0,45,39,1
39,6,322467,11,2,12,3,2,0,0,0,40,39,1
59,0,448105,15,4,12,0,4,1,0,0,45,39,0
24,4,158169,15,2,4,0,4,1,0,0,40,39,0
60,4,187676,15,0,11,0,4,1,0,0,40,39,0
37,1,225521,9,2,3,0,4,1,0,0,50,39,0
26,4,158947,15,2,4,1,4,1,0,0,62,39,0
26,4,270767,9,4,1,5,2,0,0,0,40,39,0
25,6,363482,11,4,1,3,4,1,0,0,40,39,0
43,4,96745,15,4,1,1,4,0,0,0,73,39,0
58,4,222114,11,2,10,3,4,0,0,0,40,39,0
52,4,238182,9,4,1,3,4,1,0,0,12,39,0
32,4,304434,11,2,3,1,4,0,0,0,23,39,0
47,6,64093,15,4,10,4,2,1,0,0,40,39,0
25,4,167986,9,0,5,4,4,0,0,0,40,29,0
28,2,93932,11,4,12,0,4,1,0,0,40,39,0
31,4,208640,1,4,12,3,2,0,0,0,40,39,0
24,4,143445,9,4,3,0,4,1,0,0,40,39,0
39,4,175814,15,4,12,1,4,0,0,1711,40,39,0
32,4,45818,7,0,9,5,4,1,0,0,23,40,0
30,6,390582,11,2,6,3,4,1,0,0,73,39,0
51,6,195735,2,2,1,0,4,0,0,0,40,27,0
61,4,227209,11,2,1,0,4,1,0,0,50,39,1
27,4,239890,11,4,14,3,2,1,0,0,40,39,0
28,6,247233,11,2,12,0,2,1,0,0,40,39,0
20,4,121086,6,4,12,3,4,1,0,0,60,39,0
53,4,193661,9,4,10,4,4,1,0,1848,40,39,0
32,4,101964,15,4,14,1,4,1,0,0,22,39,0
25,4,348929,15,2,12,4,4,1,0,0,40,39,0
53,4,171215,15,2,4,0,4,1,14075,0,55,39,1
44,4,98029,15,4,1,0,4,0,0,0,40,39,0
53,6,352624,11,2,3,5,4,1,14090,0,53,39,1
38,4,339583,11,2,7,5,4,1,0,0,40,39,0
26,6,194108,15,2,12,0,4,1,0,0,40,39,0
27,4,158971,15,4,14,3,4,1,0,0,40,39,0
63,4,186725,4,3,10,4,2,1,0,0,40,39,0
61,0,30094,15,4,12,0,4,1,0,0,45,39,0
52,4,232018,11,2,10,0,4,1,14090,0,49,39,1
61,4,31946,12,2,10,3,4,1,0,0,29,36,1
42,4,113185,11,2,4,0,4,1,0,0,56,39,0
59,0,486581,15,4,6,3,4,0,0,0,36,39,0
25,4,73359,11,0,1,4,4,0,0,0,40,39,0
48,4,332285,11,2,12,0,4,0,0,0,40,39,0
37,4,118211,11,2,1,0,4,1,0,0,60,39,1
28,5,151886,9,0,12,0,2,1,0,0,46,34,0
21,4,152720,9,0,1,3,4,1,0,0,40,39,0
24,4,212591,11,4,12,4,2,1,0,0,15,39,0
39,4,112240,15,4,12,4,4,1,0,0,40,39,0
46,4,107610,15,4,12,4,4,1,0,0,40,39,0
30,4,264065,11,0,3,3,4,0,0,0,40,39,0
61,6,138732,11,2,6,1,4,0,0,0,40,33,1
47,3,330212,7,0,9,3,4,0,0,0,25,8,0
43,0,225656,15,2,10,0,4,1,0,0,40,39,1
43,6,126830,9,2,3,1,4,1,0,0,21,39,1
31,4,305971,15,2,12,0,4,1,0,0,40,39,0
33,4,264725,11,2,12,5,2,1,0,0,40,39,0
37,0,157209,15,4,3,0,4,1,0,1496,50,39,0
24,2,287037,0,4,12,1,2,0,0,0,40,39,0
23,4,70073,9,0,12,4,2,0,0,0,34,39,0
32,4,335353,9,2,7,0,4,1,0,0,40,39,0
37,4,38994,11,2,12,0,4,0,0,0,40,39,0
21,4,76066,9,0,3,4,2,1,0,0,40,39,0
21,4,67753,15,5,1,2,4,1,0,0,35,8,0
28,4,263347,2,2,4,4,4,1,0,0,40,39,0
33,6,329024,11,2,12,3,2,1,0,0,40,39,1
48,4,186202,9,4,3,3,2,1,0,0,40,39,0
26,4,97731,11,4,11,0,4,0,0,0,40,29,0
21,4,423281,11,2,0,3,2,0,0,0,40,39,0
26,4,139381,11,2,8,3,4,0,0,0,40,39,0
32,4,191094,11,2,6,3,4,0,0,0,40,39,0
47,4,322683,15,2,12,1,4,0,0,0,40,39,0
37,4,76932,11,2,9,4,4,0,0,0,40,8,0
30,4,128577,9,2,1,0,4,1,0,0,40,39,0
42,4,94838,15,4,3,1,4,1,0,0,26,39,0
32,4,147272,12,2,10,4,4,0,0,0,40,39,0
60,5,335695,2,4,14,3,4,1,0,3469,40,40,0
23,4,139191,11,3,1,3,4,0,0,0,40,39,0
19,4,114831,11,0,1,0,4,0,0,0,21,39,0
51,4,168629,11,2,6,1,4,0,0,0,40,39,1
21,4,105875,15,2,14,0,4,1,0,0,40,39,0
26,4,333194,15,2,12,4,2,1,0,0,40,39,0
21,4,338465,15,0,0,3,2,0,0,0,16,39,0
61,6,508874,15,4,12,4,2,1,0,0,40,39,0
47,4,181302,14,4,5,4,4,1,0,0,23,19,0
38,4,162075,11,2,3,0,4,1,0,0,40,39,0
31,1,17588,1,3,10,4,4,1,0,0,45,39,1
25,4,99007,11,0,1,0,4,0,0,0,40,39,0
52,4,179481,9,4,3,0,4,0,0,0,40,39,0
56,4,155926,15,4,6,0,2,1,0,0,40,39,0
33,2,33297,11,2,10,1,4,1,14087,0,12,39,1
20,4,114572,15,4,1,4,2,0,0,0,19,39,0
38,4,98870,11,2,10,0,4,1,14090,0,49,39,1
48,0,216448,0,4,1,4,4,0,0,0,40,29,0
30,4,238545,9,2,6,0,4,0,0,0,40,39,0
60,2,135907,15,4,14,5,2,1,0,0,40,39,0
25,4,106665,15,4,3,5,4,1,0,0,40,39,0
33,4,207633,11,2,3,1,4,1,0,0,40,39,0
20,2,113304,4,4,12,4,2,1,0,0,35,39,0
43,4,191612,5,4,0,1,2,1,0,0,21,39,0
64,4,385572,15,4,4,1,4,0,0,0,50,39,0
27,4,81908,11,2,8,0,2,0,0,0,40,39,0
29,1,118220,1,4,13,1,4,1,0,0,50,39,0
39,4,211910,7,0,9,4,2,0,0,0,40,5,0
32,4,246979,2,2,10,4,4,1,0,0,40,39,0
24,4,75263,9,2,11,0,4,0,0,0,40,39,0
32,4,130329,11,4,1,3,4,1,0,0,40,39,0
27,4,151447,9,2,3,0,4,0,0,0,40,39,0
17,4,63796,11,4,9,2,4,0,0,0,13,27,0
38,4,291192,9,2,3,0,4,1,0,0,50,39,1
23,4,336773,11,2,12,0,4,0,0,0,40,39,0
34,4,120176,9,2,3,0,4,1,0,0,46,39,0
23,4,36634,2,0,8,3,4,0,0,0,40,39,0
25,6,189496,11,2,3,4,4,1,0,0,40,39,0
43,4,150559,15,4,14,0,4,1,0,0,40,39,0
31,4,85456,6,2,10,3,4,1,0,0,15,39,0
69,4,592349,6,4,1,1,4,1,0,1657,87,39,0
25,4,161781,15,4,11,4,2,1,0,2006,40,39,0
47,4,283196,15,4,14,4,4,1,0,0,40,39,0
33,4,249789,4,4,1,1,4,0,0,0,40,39,0
45,4,105522,11,4,3,1,4,1,0,0,40,39,0
24,4,414103,0,4,9,5,4,0,0,0,40,39,0
25,4,91968,11,0,3,3,2,1,0,0,19,8,0
19,3,137222,0,4,8,3,4,0,10475,0,16,39,0
20,4,130743,0,4,14,3,4,0,0,0,40,39,0
42,1,200117,8,5,10,1,4,1,0,0,50,39,1
30,0,125628,9,4,1,0,4,1,0,0,40,39,0
32,4,133051,11,2,1,1,4,1,0,0,40,39,0
25,4,145068,9,2,3,0,4,1,14090,0,55,39,1
26,4,178225,9,0,1,0,4,1,0,0,40,38,0
24,4,171371,9,2,1,0,4,0,0,0,40,39,0
21,4,120934,15,2,1,0,4,0,0,0,40,39,0
60,4,209499,12,2,4,0,4,1,0,0,50,39,1
47,4,98200,15,3,14,1,4,1,0,0,40,39,0
61,0,500893,15,4,6,1,2,1,0,0,25,39,0
20,4,205495,11,2,0,3,4,0,0,0,40,8,0
61,4,103971,11,2,12,0,4,1,0,0,50,39,0
47,4,117929,0,6,9,1,4,1,0,0,22,39,0
43,4,380259,15,4,12,0,4,1,0,1443,50,39,0
38,4,155527,15,2,12,0,4,1,0,0,46,39,0
62,4,498367,15,4,1,0,2,0,0,0,40,39,0
30,4,141219,11,2,10,1,4,0,0,0,40,39,1
22,4,97597,9,2,4,0,4,1,14090,0,50,39,1
43,4,125967,15,6,1,1,4,0,0,0,40,39,0
69,4,100384,15,4,3,1,4,1,0,0,40,39,1
25,4,122183,11,2,1,1,4,0,0,0,40,39,0
29,4,84066,15,6,3,1,4,1,0,0,24,39,0
24,5,261568,9,2,10,0,4,1,0,0,40,39,0
27,4,180267,11,2,5,1,4,0,0,0,23,39,0
25,4,318066,11,4,8,0,4,0,0,2081,40,39,0
61,0,500492,12,3,10,1,4,1,0,0,40,39,1
21,4,74483,11,2,12,1,4,0,0,0,40,39,0
31,4,224408,11,2,12,1,4,1,0,0,40,39,0
20,4,129315,11,2,3,3,4,1,0,0,50,39,0
25,4,131452,11,2,8,3,4,0,0,0,40,39,0
58,0,227669,9,4,10,4,4,1,0,0,40,39,0
63,4,182262,11,6,11,1,4,1,14090,0,50,39,1
35,4,43054,5,2,3,0,4,1,0,0,50,39,0
21,4,56644,15,4,1,0,4,0,0,0,40,39,0
61,6,345952,12,2,12,0,2,1,0,0,40,39,0
38,5,293146,9,0,10,0,4,1,0,0,40,39,1
59,4,223183,11,2,12,0,4,1,0,0,60,39,0
47,4,139601,7,2,0,3,4,0,0,0,40,39,0
24,5,195436,9,0,10,3,4,1,0,0,40,39,0
23,4,52713,6,4,0,3,4,0,0,0,8,39,0
37,6,165583,11,2,0,0,4,1,0,0,37,39,0
60,4,392448,15,2,5,1,4,1,0,0,50,39,0
31,1,184664,1,4,12,5,4,1,0,0,40,39,0
53,4,283738,15,4,12,0,2,0,0,0,40,39,0
32,1,173215,1,2,12,0,4,1,0,0,60,39,0
33,4,117019,11,4,9,5,2,1,0,0,22,39,0
43,4,392705,15,4,12,5,4,1,0,0,40,39,0
33,4,199171,6,0,5,3,4,0,0,0,46,39,0
31,4,218868,2,2,10,3,4,0,0,0,40,32,0
62,4,339376,11,2,12,4,4,0,0,0,40,39,0
21,0,135726,12,2,4,5,4,1,48472,0,57,39,1
25,5,98958,9,0,3,0,2,1,0,0,47,39,0
61,4,412554,15,2,11,5,4,1,14090,0,49,39,1
25,4,101745,11,2,8,0,4,0,0,0,40,39,0
58,4,78338,11,2,8,0,4,0,0,0,50,39,0
47,7,360253,15,4,0,0,2,1,0,0,40,39,0
43,4,143971,15,4,1,4,4,1,0,1504,25,39,0
41,4,97958,15,4,3,1,4,1,0,0,40,39,0
55,4,182585,9,2,10,3,4,1,0,0,45,39,1
25,4,187193,11,0,12,3,2,0,0,0,18,39,0
26,4,185490,15,0,1,4,4,1,0,0,40,39,0
26,4,149098,11,2,3,3,4,1,0,0,14,39,0
47,4,135666,0,4,1,0,4,0,0,0,36,39,0
30,4,238527,12,4,3,0,4,1,0,0,45,39,0
26,4,169437,11,2,10,3,4,1,0,0,40,39,0
62,4,170765,11,2,8,0,4,0,0,0,40,39,0
47,4,130756,9,2,4,0,4,1,0,0,45,39,1
27,5,350595,9,3,10,0,4,1,0,0,46,39,1
26,4,97291,11,4,3,4,4,0,0,0,17,39,0
24,4,163999,9,0,6,0,2,1,0,0,40,39,0
51,4,228089,15,4,1,1,4,1,0,0,46,39,0
22,4,313652,11,2,3,3,4,0,0,0,18,39,0
43,4,214457,9,2,10,4,4,1,0,0,40,39,0
56,4,187834,9,2,10,4,4,1,0,0,40,39,0
52,4,213911,9,2,14,0,4,1,0,0,50,39,1
33,0,476182,15,4,12,0,2,1,0,0,40,39,0
61,0,77175,9,6,9,0,4,1,14088,0,50,39,1
23,4,130119,11,2,13,0,4,1,0,0,50,39,0
23,4,312926,9,4,12,0,2,1,0,0,40,39,0
32,4,110671,15,2,3,3,4,1,0,0,46,39,0
35,4,142673,11,0,12,0,4,1,0,0,40,39,0
36,4,161908,11,2,4,0,4,1,0,0,50,39,0
37,4,81878,11,2,1,0,4,1,0,0,40,39,0
42,4,32566,11,2,10,0,4,1,14071,0,34,39,1
24,4,263013,7,4,3,3,2,1,0,0,17,39,0
60,4,352134,11,2,5,3,4,0,0,2079,40,27,0
25,4,335484,9,2,0,0,4,0,0,0,46,39,0
61,4,184788,11,2,12,0,4,1,0,0,40,39,1
34,4,113890,8,2,12,5,4,0,0,0,40,39,0
26,2,344151,9,4,12,0,4,1,0,0,47,39,0
68,4,214871,15,2,10,1,4,1,0,0,40,39,0
60,4,104091,15,2,1,1,2,1,0,0,26,39,0
32,2,73992,7,4,9,3,4,1,0,0,19,39,0
25,5,172159,15,4,6,3,2,0,0,0,40,39,0
61,4,181275,11,2,8,5,4,0,0,0,36,39,0
25,4,238300,9,0,10,0,2,1,0,0,40,39,0
20,4,262413,9,0,0,0,4,0,0,0,40,39,0
23,5,146201,9,4,9,0,4,1,0,0,40,39,0
46,2,107825,11,4,6,3,4,0,0,0,21,39,0
30,5,96557,9,0,10,0,4,1,0,0,45,39,1
59,4,203738,11,2,10,0,4,1,0,0,40,39,0
24,4,159087,15,4,3,3,4,0,0,0,40,39,0
61,4,170642,15,2,4,0,4,1,0,1496,50,39,1
41,4,195974,11,2,12,0,4,1,14082,0,54,39,1
30,6,141396,9,2,10,1,4,1,0,0,50,39,1
27,6,116862,11,4,9,1,2,1,0,0,40,39,0
48,4,136755,11,4,1,3,4,1,0,0,40,39,0
28,0,49621,9,4,3,1,4,1,0,0,40,39,0
39,4,253655,11,4,6,4,2,1,0,0,40,39,0
32,7,209196,9,0,14,4,4,1,0,0,40,39,0
28,4,223581,11,0,3,3,4,1,0,0,40,39,0
31,4,163635,9,0,14,1,4,0,0,0,40,39,0
25,4,109134,9,0,12,5,2,0,0,0,40,39,0
31,4,192839,0,4,8,3,4,1,0,0,40,39,0
27,4,117418,0,6,1,2,4,1,0,0,40,39,0
28,1,123701,1,2,3,1,4,1,0,0,40,39,1
60,0,201094,12,3,10,4,4,0,0,0,40,39,0
23,4,313534,11,2,12,3,2,1,0,0,40,39,0
20,4,260365,11,4,12,3,4,0,0,0,40,39,0
24,4,143483,7,0,3,0,4,0,0,0,40,39,0
20,4,173728,11,2,4,0,4,0,0,0,50,39,1
21,4,260748,9,0,12,0,4,0,0,0,40,39,0
27,4,256044,15,2,14,4,4,1,0,0,40,39,0
29,4,120803,11,4,3,1,4,0,0,0,50,39,0
25,4,103830,9,2,1,3,4,0,0,0,40,39,0
24,4,94791,11,2,1,1,4,0,0,0,22,39,0
48,4,191250,12,2,4,0,4,1,14090,0,53,39,1
75,6,279641,11,4,12,5,2,0,0,0,22,39,0
24,4,117570,15,4,6,3,4,0,0,0,19,39,0
18,4,102980,11,2,1,0,4,0,0,0,40,39,0
25,5,450336,9,0,9,3,4,1,0,0,40,39,0
39,4,111961,11,2,12,0,4,1,48480,0,55,39,1
26,4,101377,11,0,8,1,4,0,0,0,22,39,0
26,4,84666,9,4,14,0,2,1,0,0,23,39,0
47,2,167605,11,2,6,3,4,1,0,1555,91,39,0
25,4,117728,11,0,8,3,4,0,0,0,18,39,0
41,4,145067,11,2,1,1,4,1,0,0,40,39,0
61,4,88939,15,4,11,1,4,1,0,0,25,39,0
47,4,135541,7,0,0,0,4,1,0,0,40,39,0
25,5,257978,15,4,8,0,4,1,0,0,47,39,0
20,1,372290,15,4,12,1,4,1,0,0,50,39,0
33,4,139690,15,4,1,3,4,1,0,0,40,39,0
18,4,153657,11,4,8,0,4,0,0,0,45,39,0
61,4,411145,15,2,14,0,4,1,14090,1566,52,39,1
52,4,116357,11,4,10,3,4,1,0,0,17,39,0
19,4,144804,11,4,1,4,4,0,0,0,40,39,0
55,6,272401,15,4,8,0,4,1,0,0,47,39,0
20,4,207357,15,4,6,1,4,1,0,0,25,39,0
42,4,207158,15,4,1,1,4,1,0,0,28,39,0
24,4,175473,9,2,10,0,4,1,0,0,40,2,0
58,4,229224,15,0,5,3,4,0,0,0,40,39,0
21,4,159899,15,2,1,0,4,1,0,0,40,39,0
32,4,201405,15,4,12,4,4,1,0,1797,40,39,0
43,4,212125,15,4,4,3,4,1,0,0,40,39,0
22,4,149034,11,5,5,4,4,0,0,0,40,39,0
26,0,181269,2,0,1,4,4,0,0,0,40,32,0
27,4,133468,9,2,12,5,4,0,0,0,50,39,1
65,0,343411,15,4,3,0,4,1,0,0,75,39,0
61,4,163762,9,2,3,1,4,1,0,1525,40,39,0
31,4,96273,11,2,0,3,4,0,0,0,40,39,0
61,4,260033,11,2,12,0,4,1,14090,0,51,39,1
53,4,309250,11,2,12,3,4,1,0,0,40,26,0
47,4,172868,15,4,1,4,4,0,0,0,40,39,0
30,0,479703,15,4,1,0,4,1,0,1921,40,39,0
24,4,109682,9,4,12,1,4,0,0,0,40,39,0
51,4,86806,11,2,8,4,4,0,0,0,40,39,0
42,4,116784,8,5,3,1,4,1,0,0,40,35,0
26,2,232398,9,0,3,0,4,1,0,0,40,39,0
38,4,172409,11,4,3,0,4,1,0,0,46,39,0
27,4,262924,15,4,12,3,4,0,0,0,40,39,0
21,4,56450,0,2,4,1,4,1,0,0,40,39,0
61,4,132383,15,2,14,0,4,1,0,0,40,39,0
43,6,191100,8,5,13,0,4,1,0,0,50,39,1
31,4,93872,15,2,5,3,4,1,0,0,21,41,0
26,4,189780,11,4,6,4,4,1,0,0,40,39,0
24,4,77688,9,0,10,4,4,1,0,0,46,39,0
24,4,157024,15,4,14,4,4,1,0,1946,40,39,0
38,2,181639,9,2,10,0,4,1,0,1574,40,39,0
69,4,193190,11,2,7,0,4,1,14090,0,45,39,1
27,4,173193,15,4,12,1,2,1,0,0,40,39,0
23,4,146396,11,2,12,4,4,0,0,0,40,39,0
33,0,44139,15,4,11,0,4,1,0,0,40,39,0
21,4,105439,11,3,3,1,4,1,0,0,24,39,0
23,1,123060,11,4,1,0,4,0,0,0,40,39,0
27,4,307838,15,4,6,4,4,1,0,0,40,39,0
25,4,153103,15,6,3,5,4,1,0,0,50,39,0
